Time,UTC_TIME,Open,High,Low,Close,Volume,CANDLE_TYPE
2025-12-04 09:05:00,2025-12-04 03:35:00,144.47,144.61,144.33,144.5,2512.32,Bullish
2025-12-04 09:10:00,2025-12-04 03:40:00,144.5,144.68,144.46,144.65,1705.287,Bullish
2025-12-04 09:15:00,2025-12-04 03:45:00,144.65,144.91,144.5,144.9,1751.918,Bullish
2025-12-04 09:20:00,2025-12-04 03:50:00,144.9,144.92,144.67,144.74,1592.068,Bearish
2025-12-04 09:25:00,2025-12-04 03:55:00,144.74,144.75,144.59,144.65,2027.974,Bearish
2025-12-04 09:30:00,2025-12-04 04:00:00,144.65,144.74,144.3,144.46,2804.006,Bearish
2025-12-04 09:35:00,2025-12-04 04:05:00,144.46,144.64,144.4,144.62,1263.822,Bullish
2025-12-04 09:40:00,2025-12-04 04:10:00,144.62,144.9,144.55,144.55,1461.531,Bearish
2025-12-04 09:45:00,2025-12-04 04:15:00,144.55,144.58,144.18,144.23,2521.554,Bearish
2025-12-04 09:50:00,2025-12-04 04:20:00,144.23,144.34,144.14,144.22,1806.911,Bearish
2025-12-04 09:55:00,2025-12-04 04:25:00,144.22,144.35,144.19,144.29,1252.542,Bullish
2025-12-04 10:00:00,2025-12-04 04:30:00,144.29,144.51,144.23,144.31,1111.384,Bullish
2025-12-04 10:05:00,2025-12-04 04:35:00,144.31,144.46,144.1,144.15,1325.148,Bearish
2025-12-04 10:10:00,2025-12-04 04:40:00,144.15,144.3,143.91,144.07,2740.72,Bearish
2025-12-04 10:15:00,2025-12-04 04:45:00,144.07,144.07,143.74,143.82,2044.933,Bearish
2025-12-04 10:20:00,2025-12-04 04:50:00,143.82,144.06,143.82,144.04,1739.468,Bullish
2025-12-04 10:25:00,2025-12-04 04:55:00,144.04,144.25,143.99,144.16,1794.04,Bullish
2025-12-04 10:30:00,2025-12-04 05:00:00,144.16,144.23,144.0,144.08,1086.148,Bearish
2025-12-04 10:35:00,2025-12-04 05:05:00,144.08,144.12,143.79,143.83,1747.819,Bearish
2025-12-04 10:40:00,2025-12-04 05:10:00,143.83,144.2,143.77,144.01,3990.0,Bullish
2025-12-04 10:45:00,2025-12-04 05:15:00,144.01,144.09,143.76,143.78,1437.686,Bearish
2025-12-04 10:50:00,2025-12-04 05:20:00,143.78,143.83,143.42,143.68,5189.552,Bearish
2025-12-04 10:55:00,2025-12-04 05:25:00,143.68,144.01,143.68,143.93,3146.829,Bullish
2025-12-04 11:00:00,2025-12-04 05:30:00,143.93,143.99,143.69,143.72,1514.649,Bearish
2025-12-04 11:05:00,2025-12-04 05:35:00,143.72,143.74,143.56,143.64,1985.931,Bearish
2025-12-04 11:10:00,2025-12-04 05:40:00,143.64,143.64,143.26,143.27,2760.679,Bearish
2025-12-04 11:15:00,2025-12-04 05:45:00,143.27,143.37,143.23,143.25,3364.019,Bearish
2025-12-04 11:20:00,2025-12-04 05:50:00,143.25,143.25,142.97,143.05,6510.234,Bearish
2025-12-04 11:25:00,2025-12-04 05:55:00,143.05,143.35,143.05,143.24,1948.725,Bullish
2025-12-04 11:30:00,2025-12-04 06:00:00,143.24,143.34,143.1,143.12,2380.978,Bearish
2025-12-04 11:35:00,2025-12-04 06:05:00,143.12,143.41,143.11,143.37,1803.06,Bullish
2025-12-04 11:40:00,2025-12-04 06:10:00,143.37,143.56,143.24,143.42,2251.473,Bullish
2025-12-04 11:45:00,2025-12-04 06:15:00,143.42,143.59,143.39,143.4,2640.605,Bearish
2025-12-04 11:50:00,2025-12-04 06:20:00,143.4,143.6,143.32,143.45,3067.904,Bullish
2025-12-04 11:55:00,2025-12-04 06:25:00,143.45,143.92,143.45,143.88,2832.06,Bullish
2025-12-04 12:00:00,2025-12-04 06:30:00,143.88,144.15,143.88,144.15,4322.543,Bullish
2025-12-04 12:05:00,2025-12-04 06:35:00,144.15,144.29,144.04,144.17,2354.806,Bullish
2025-12-04 12:10:00,2025-12-04 06:40:00,144.17,144.25,144.04,144.08,3478.815,Bearish
2025-12-04 12:15:00,2025-12-04 06:45:00,144.08,144.1,143.85,144.09,1796.862,Bullish
2025-12-04 12:20:00,2025-12-04 06:50:00,144.09,144.21,143.85,143.99,1874.879,Bearish
2025-12-04 12:25:00,2025-12-04 06:55:00,143.99,144.04,143.93,143.97,954.889,Bearish
2025-12-04 12:30:00,2025-12-04 07:00:00,143.97,144.01,143.55,143.7,2628.384,Bearish
2025-12-04 12:35:00,2025-12-04 07:05:00,143.7,143.74,143.1,143.11,5417.988,Bearish
2025-12-04 12:40:00,2025-12-04 07:10:00,143.11,143.17,142.64,142.95,6930.774,Bearish
2025-12-04 12:45:00,2025-12-04 07:15:00,142.95,143.17,142.89,143.15,5351.613,Bullish
2025-12-04 12:50:00,2025-12-04 07:20:00,143.15,143.21,142.96,142.98,2520.207,Bearish
2025-12-04 12:55:00,2025-12-04 07:25:00,142.98,143.36,142.98,143.02,3833.875,Bullish
2025-12-04 13:00:00,2025-12-04 07:30:00,143.02,143.26,143.02,143.2,5039.153,Bullish
2025-12-04 13:05:00,2025-12-04 07:35:00,143.2,143.5,143.17,143.32,3577.413,Bullish
2025-12-04 13:10:00,2025-12-04 07:40:00,143.32,143.49,143.3,143.46,2023.329,Bullish
2025-12-04 13:15:00,2025-12-04 07:45:00,143.46,143.47,143.33,143.43,4397.779,Bearish
2025-12-04 13:20:00,2025-12-04 07:50:00,143.43,143.61,143.43,143.56,1947.374,Bullish
2025-12-04 13:25:00,2025-12-04 07:55:00,143.56,143.56,143.4,143.46,2180.79,Bearish
2025-12-04 13:30:00,2025-12-04 08:00:00,143.46,144.05,143.21,143.96,2891.611,Bullish
2025-12-04 13:35:00,2025-12-04 08:05:00,143.96,143.97,143.33,143.35,2504.811,Bearish
